
CommandType     Name                                               Version    Source
-----------     ----                                               -------    ------
Function        A:                                                            
Alias           Add-AppPackage                                     2.0.1.0    Appx
Alias           Add-AppPackageVolume                               2.0.1.0    Appx
Alias           Add-AppProvisionedPackage                          3.0        Dism
Cmdlet          Add-AppProvisionedSharedPackageContainer           3.0        Dism
Cmdlet          Add-AppSharedPackageContainer                      2.0.1.0    Appx
Cmdlet          Add-AppxPackage                                    2.0.1.0    Appx
Cmdlet          Add-AppxProvisionedPackage                         3.0        Dism
Cmdlet          Add-AppxVolume                                     2.0.1.0    Appx
Alias           Add-AzAccount                                      5.3.0      Az.Accounts
Function        Add-AzADAppPermission                              8.1.1      Az.Resources
Function        Add-AzADGroupMember                                8.1.1      Az.Resources
Cmdlet          Add-AzEnvironment                                  5.3.0      Az.Accounts
Cmdlet          Add-AzKeyVaultCertificate                          6.4.0      Az.KeyVault
Cmdlet          Add-AzKeyVaultCertificateContact                   6.4.0      Az.KeyVault
Cmdlet          Add-AzKeyVaultKey                                  6.4.0      Az.KeyVault
Cmdlet          Add-AzKeyVaultManagedHsmNetworkRule                6.4.0      Az.KeyVault
Function        Add-AzKeyVaultManagedHsmRegion                     6.4.0      Az.KeyVault
Cmdlet          Add-AzKeyVaultManagedStorageAccount                6.4.0      Az.KeyVault
Cmdlet          Add-AzKeyVaultNetworkRule                          6.4.0      Az.KeyVault
Function        Add-BCDataCacheExtension                           1.0.0.0    BranchCache
Function        Add-BitLockerKeyProtector                          1.0.0.0    BitLocker
Cmdlet          Add-BitsFile                                       2.0.0.0    BitsTransfer
Cmdlet          Add-CertificateEnrollmentPolicyServer              1.0.0.0    PKI
Cmdlet          Add-Content                                        7.0.0.0    Microsoft.PowerShell.Management
Function        Add-DnsClientDohServerAddress                      1.0.0.0    DnsClient
Function        Add-DnsClientNrptRule                              1.0.0.0    DnsClient
Function        Add-DtcClusterTMMapping                            1.0.0.0    MsDtc
Function        Add-EtwTraceProvider                               1.0.0.0    EventTracingManagement
Cmdlet          Add-History                                        7.5.0.500  Microsoft.PowerShell.Core
Function        Add-InitiatorIdToMaskingSet                        2.0.0.0    Storage
Cmdlet          Add-JobTrigger                                     1.1.0.0    PSScheduledJob
Cmdlet          Add-KdsRootKey                                     1.0.0.0    Kds
Cmdlet          Add-LocalGroupMember                               1.0.0.0    Microsoft.PowerShell.LocalAccounts
Cmdlet          Add-Member                                         7.0.0.0    Microsoft.PowerShell.Utility
Function        Add-MgApplicationKey                               2.31.0     Microsoft.Graph.Applications
Function        Add-MgApplicationKey                               2.30.0     Microsoft.Graph.Applications
Function        Add-MgApplicationKey                               2.32.0     Microsoft.Graph.Applications
Function        Add-MgApplicationPassword                          2.31.0     Microsoft.Graph.Applications
Function        Add-MgApplicationPassword                          2.30.0     Microsoft.Graph.Applications
Function        Add-MgApplicationPassword                          2.32.0     Microsoft.Graph.Applications
Function        Add-MgChatMember                                   2.32.0     Microsoft.Graph.Teams
Function        Add-MgChatMember                                   2.31.0     Microsoft.Graph.Teams
Function        Add-MgChatMember                                   2.30.0     Microsoft.Graph.Teams
Function        Add-MgCommunicationCallLargeGalleryView            2.32.0     Microsoft.Graph.CloudCommunications
Function        Add-MgCommunicationCallLargeGalleryView            2.30.0     Microsoft.Graph.CloudCommunications
Function        Add-MgCommunicationCallLargeGalleryView            2.31.0     Microsoft.Graph.CloudCommunications
Function        Add-MgDriveListContentTypeCopy                     2.32.0     Microsoft.Graph.Files
Function        Add-MgDriveListContentTypeCopy                     2.31.0     Microsoft.Graph.Files
Function        Add-MgDriveListContentTypeCopy                     2.30.0     Microsoft.Graph.Files
Function        Add-MgDriveListContentTypeCopyFromContentTypeHub   2.32.0     Microsoft.Graph.Files
Function        Add-MgDriveListContentTypeCopyFromContentTypeHub   2.30.0     Microsoft.Graph.Files
Function        Add-MgDriveListContentTypeCopyFromContentTypeHub   2.31.0     Microsoft.Graph.Files
Cmdlet          Add-MgEnvironment                                  2.31.0     Microsoft.Graph.Authentication
Function        Add-MgExternalConnectionItemActivity               2.32.0     Microsoft.Graph.Search
Function        Add-MgExternalConnectionItemActivity               2.31.0     Microsoft.Graph.Search
Function        Add-MgExternalConnectionItemActivity               2.30.0     Microsoft.Graph.Search
Function        Add-MgGroupDriveListContentTypeCopy                2.32.0     Microsoft.Graph.Files
Function        Add-MgGroupDriveListContentTypeCopy                2.30.0     Microsoft.Graph.Files
Function        Add-MgGroupDriveListContentTypeCopy                2.31.0     Microsoft.Graph.Files
Function        Add-MgGroupDriveListContentTypeCopyFromContentTyp… 2.32.0     Microsoft.Graph.Files
Function        Add-MgGroupDriveListContentTypeCopyFromContentTyp… 2.30.0     Microsoft.Graph.Files
Function        Add-MgGroupDriveListContentTypeCopyFromContentTyp… 2.31.0     Microsoft.Graph.Files
Function        Add-MgGroupFavorite                                2.32.0     Microsoft.Graph.Groups
Function        Add-MgGroupFavorite                                2.30.0     Microsoft.Graph.Groups
Function        Add-MgGroupFavorite                                2.31.0     Microsoft.Graph.Groups
Function        Add-MgGroupSite                                    2.32.0     Microsoft.Graph.Sites
Function        Add-MgGroupSite                                    2.30.0     Microsoft.Graph.Sites
Function        Add-MgGroupSite                                    2.31.0     Microsoft.Graph.Sites
